PID,Parcel Address,BUILDING TYPE,STYLE,QUALITY,QUALITY digital, YEAR BUILT,MAIN AND UPPER LIVING AREA,BASEMENT AREA,PARCEL SIZE SQ FT,PARCEL SIZE ACRES,VIEW,WATERFRONT,SALE DATE,ORIGINAL SALE AMOUNT,ADJUSTED SALE AMOUNT,ASSESSOR NH (REFERENCE NO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121564116,30405 NE OLSON RD YACOLT,CONVENTIONAL,RANCH,3+,3.5,1986,1596,,35284,0.81,,AVG WF UTILITY,9/9/2021,"$596,000","$637,720",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250374000,24121 NE DOLE VALLEY RD YACOLT,MOBILE HOME,RANCH,3,3,1987,1404,,111078,2.55,,,7/15/2021,"$475,000","$524,875",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248359000,27320 NE 312TH CT YACOLT,MOBILE HOME,RANCH,3,3,1994,1616,,244807,5.62,,,8/25/2021,"$300,000","$326,250",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248289000,27014 NE 329TH AVE YACOLT,MOBILE HOME,RANCH,3,3,1995,1296,,225641,5.18,,,8/9/2021,"$475,000","$516,563",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237835000,N/A,,,,,,,,87120,2.00,,,7/1/2021,"$120,000","$125,184",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248111000,N/A,,,,,,,,261360,6.00,,,10/22/2021,"$240,000","$245,184",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248124000,26524 NE DOLE VALLEY RD YACOLT,,,,,,,,261360,6.00,,,6/30/2021,"$220,000","$231,088",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239695000,N/A,,,,,,,,1742400,40.00,,,8/30/2021,"$240,000","$248,640",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986058892,N/A,,,,,,,,3484800,80.00,,,6/2/2021,"$757,000","$795,153",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275253000,22212 NE CEDAR CREEK RD AMBOY,CONVENTIONAL,1.5 FINISHED,2,2,2002,1680,,217800,5.00,,,9/24/2021,"$592,000","$633,440",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279275000,25106 NE WORTHINGTON RD YACOLT,CONVENTIONAL,1.5 FINISHED,2+,2.5,1956,1732,,236095,5.42,,,5/4/2021,"$450,000","$513,000",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277738000,36315 NE 241ST AVE YACOLT,CONVENTIONAL,1.5 FINISHED,2+,2.5,1975,2205,,435600,10.00,,,3/10/2021,"$640,000","$752,000",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277713000,36900 NE AMBOY RD YACOLT,CONVENTIONAL,1.5 FINISHED,2+,2.5,1983,1536,1024,1215324,27.90,VIEW FAIR,,1/5/2021,"$610,000","$738,100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275250000,40008 NE 221ST AVE AMBOY,CONVENTIONAL,1.5 FINISHED,3,3,1910,1156,,35284,0.81,,,10/12/2021,"$372,500","$392,056",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274806000,26115 NE 415TH ST AMBOY,CONVENTIONAL,1.5 FINISHED,3,3,1926,2176,945,217800,5.00,,,8/2/2021,"$625,000","$679,688",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229431000,29001 NE FALLS RD YACOLT,CONVENTIONAL,1.5 FINISHED,3,3,1937,1420,920,217800,5.00,,,9/25/2021,"$540,000","$577,800",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277757000,37101 NE AMBOY RD YACOLT,CONVENTIONAL,1.5 FINISHED,3,3,1984,2650,,212573,4.88,,,8/6/2021,"$734,900","$799,204",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274345000,27614 NE 434TH ST AMBOY,CONVENTIONAL,1.5 FINISHED,3,3,2004,2001,,435600,10.00,,,5/24/2021,"$630,000","$718,200",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275514000,41811 NE CEDAR RIDGE RD AMBOY,CONVENTIONAL,1.5 FINISHED,3,3,2009,1870,1200,219978,5.05,,,1/13/2021,"$575,000","$695,750",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275696000,40313 NE 193RD CT AMBOY,CONVENTIONAL,1.5 FINISHED,3,3,2018,2336,,221285,5.08,,,6/3/2021,"$685,000","$768,913",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275508000,40303 NE CEDAR RIDGE RD AMBOY,CONVENTIONAL,1.5 FINISHED,3+,3.5,2008,2234,1289,203861,4.68,,,9/28/2021,"$830,000","$888,100",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279259000,35701 NE 244TH AVE YACOLT,CONVENTIONAL,1.5 FINISHED,3+,3.5,2015,2403,1053,435600,10.00,,,3/15/2021,"$600,000","$705,000",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230083000,21107 NE YACOLT MOUNTAIN RD YACOLT,CONVENTIONAL,1.5 FINISHED,4-,3.75,2002,2616,,871200,20.00,VIEW AVERAGE,,4/30/2021,"$715,000","$827,613",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230083000,21107 NE YACOLT MOUNTAIN RD YACOLT,CONVENTIONAL,1.5 FINISHED,4-,3.75,2002,2616,,871200,20.00,VIEW AVERAGE,,1/13/2021,"$715,000","$865,150",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279047000,35529 NE 229TH AVE YACOLT,CONVENTIONAL,1.5 FINISHED,4,4,2017,2760,,257004,5.90,,,6/4/2021,"$855,000","$959,738",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275224000,22200 NE 407TH ST AMBOY,CONVENTIONAL,2 STORY,2+,2.5,1940,2304,1152,140699,3.23,,,12/30/2021,"$411,000","$418,193",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276445000,38104 NE 221ST AVE YACOLT,CONVENTIONAL,2 STORY,2+,2.5,1977,2160,,87120,2.00,,,5/25/2021,"$570,000","$649,800",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278207000,21512 NE 373RD ST YACOLT,CONVENTIONAL,2 STORY,2+,2.5,1991,2240,,263974,6.06,VIEW AVERAGE,,11/24/2021,"$715,000","$740,025",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277989000,22654 NE WORTHINGTON RD YACOLT,CONVENTIONAL,2 STORY,3,3,1977,2735,1164,408157,9.37,VIEW FAIR,,6/16/2021,"$675,000","$757,688",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277995000,22204 NE SAINT HELENS VIEW RD YACOLT,CONVENTIONAL,2 STORY,3,3,1993,2833,,217800,5.00,VIEW GOOD,,3/16/2021,"$720,000","$846,000",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278025000,22668 NE WORTHINGTON RD YACOLT,CONVENTIONAL,2 STORY,3,3,1995,2506,,237402,5.45,VIEW AVERAGE,,10/26/2021,"$795,000","$836,738",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275046000,40304 NE GERBER MCKEE RD AMBOY,CONVENTIONAL,2 STORY,3,3,2002,2110,,159430,3.66,,,8/3/2021,"$659,000","$716,663",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277729000,35903 NE 244TH AVE YACOLT,CONVENTIONAL,2 STORY,3,3,2013,2090,,44867,1.03,,,2/25/2021,"$529,000","$630,833",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276197000,38716 NE 197TH CT AMBOY,CONVENTIONAL,2 STORY,3+,3.5,1988,1500,900,222156,5.10,VIEW FAIR,,9/28/2021,"$680,000","$727,600",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276485000,23414 NE MORNING DR YACOLT,CONVENTIONAL,2 STORY,3+,3.5,2003,2955,,218236,5.01,,,12/2/2021,"$710,000","$722,425",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276169000,38308 NE 216TH AVE AMBOY,CONVENTIONAL,2 STORY,3+,3.5,2006,2602,1060,87120,2.00,VIEW GOOD,,6/14/2021,"$635,000","$712,788",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231354000,23711 NE LUCIA FALLS RD YACOLT,CONVENTIONAL,2 STORY,3+,3.5,2011,2163,408,117612,2.70,,AVG WF UTILITY,7/2/2021,"$740,000","$817,700",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279303000,24711 NE CHILCOTE DR YACOLT,CONVENTIONAL,2 STORY,3+,3.5,2012,2437,,220414,5.06,,,4/28/2021,"$750,000","$868,125",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277276000,28009 NE THOMPSON CIR YACOLT,CONVENTIONAL,2 STORY,3+,3.5,2019,2045,,435600,10.00,,,10/29/2021,"$590,000","$620,975",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232242000,26502 NE LUCIA FALLS RD YACOLT,CONVENTIONAL,2 STORY,4,4,2013,2558,,91040,2.09,,,8/26/2021,"$708,000","$769,950",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275937000,17908 NE 391ST ST AMBOY,CONVENTIONAL,2 STORY,4,4,2018,3128,,211266,4.85,VIEW GOOD,,10/25/2021,"$805,000","$847,263",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275935000,17911 NE 391ST ST AMBOY,CONVENTIONAL,2 STORY,4+,4.5,2013,3353,1090,217800,5.00,VIEW LIMITED,,6/4/2021,"$1,089,000","$1,222,403",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
